"N"	"Dose"	"Strain"	"Line"	"SUBJECT.NAME"	"Sex"	"ID"	"Age"	"Weight"	"SpleenIndex"	"Log10.CFUs.g.Spleen"	"Log10.CFUs.g.Liver"	"Batch"	"Exp"	"Date"	"B6"	"S.129"
"128"	8	1115	"CC018/Unc"	"CC018"	"OR3609"	1	114829	10	26	0.76	5.21	4	"G"	8	20150424	6.27	5.135
"129"	9	1115	"CC018/Unc"	"CC018"	"OR3609"	1	114830	10	25.8	0.86	5.33	4.04	"G"	8	20150424	6.27	5.135
"130"	10	1115	"CC018/Unc"	"CC018"	"OR3609"	1	114831	10	25	0.89	6.12	4.92	"G"	8	20150424	6.27	5.135
"131"	11	1115	"CC018/Unc"	"CC018"	"OR3609"	1	114832	10	27	0.86	5.7	4.68	"G"	8	20150424	6.27	5.135
"132"	12	1115	"CC012/Unc"	"CC012"	"AU8005"	1	117580	9	23.5	0.58	4.41	3.45	"G"	8	20150424	6.27	5.135
"133"	13	1115	"CC012/Unc"	"CC012"	"AU8005"	1	117581	9	24	0.58	5.02	3.55	"G"	8	20150424	6.27	5.135
"134"	14	1115	"CC012/Unc"	"CC012"	"AU8005"	1	117582	9	23.6	0.65	4.91	4.07	"G"	8	20150424	6.27	5.135
"135"	15	1115	"CC012/Unc"	"CC012"	"AU8005"	0	114026	11	21.2	0.53	4.98	3.48	"G"	8	20150424	6.27	5.135
"136"	16	1115	"CC012/Unc"	"CC012"	"AU8005"	0	114027	11	18.8	0.61	5.02	3.86	"G"	8	20150424	6.27	5.135
"137"	17	1115	"CC012/Unc"	"CC012"	"AU8005"	0	114028	11	17	0.59	4.11	3.35	"G"	8	20150424	6.27	5.135
"138"	18	1115	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	NA	9	24.5	0.53	4.53	4.38	"G"	8	20150424	6.27	5.135
"139"	19	1115	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	NA	9	24	0.61	5.22	3.76	"G"	8	20150424	6.27	5.135
"140"	20	1115	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	0	NA	9	19.7	0.6	5.65	3.75	"G"	8	20150424	6.27	5.135
"141"	21	1115	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	0	NA	9	20	0.63	5.14	3.65	"G"	8	20150424	6.27	5.135
"142"	22	1115	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	1	NA	12	24	0.71	5.94	4.86	"G"	8	20150424	6.27	5.135
"143"	23	1115	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	1	NA	12	23	0.75	6.37	4.42	"G"	8	20150424	6.27	5.135
"144"	24	1115	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	NA	16	22	0.95	6.08	4.36	"G"	8	20150424	6.27	5.135
"145"	25	1115	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	0	NA	16	24	0.84	6.69	4.89	"G"	8	20150424	6.27	5.135
"146"	1	1364	"CC003/Unc(OR13067)"	"CC003"	"OR13067"	1	149396	7	30.7	0.63	5.63	3.96	"L"	15	20150918	6.995	5.155
"147"	2	1364	"CC004/TauUnc(IL-16188)"	"CC004"	"IL-16188"	0	143879	8	21.6	0.78	5.34	3.94	"L"	15	20150918	6.995	5.155
"148"	3	1364	"CC004/TauUnc(IL-16188)"	"CC004"	"IL-16188"	0	143880	8	20.1	0.8	5.39	4.15	"L"	15	20150918	6.995	5.155
"149"	4	1364	"CC004/TauUnc(IL-16188)"	"CC004"	"IL-16188"	1	146464	9	28.1	0.68	5.14	4.16	"L"	15	20150918	6.995	5.155
"150"	5	1364	"CC005(IL-16211)"	"CC005"	"IL-16211"	1	145115	10	22.7	0.89	4.89	3.66	"L"	15	20150918	6.995	5.155
"151"	6	1364	"CC055/TauUnc(IL-16680)"	"CC055"	"IL-16680"	1	143858	10	29	0.83	5.57	4.42	"L"	15	20150918	6.995	5.155
"152"	7	1364	"CC070/TauUnc(IL-16034)"	"CC070"	"IL-16034"	1	145059	9	26	0.73	4.89	3.3	"L"	15	20150918	6.995	5.155
"153"	13	1364	"C57BL/6J(Pasteur)"	"C57BL/6J"	"C57BL/6J"	1	153349	10	23	1.02	6.37	4.51	"L"	15	20150918	6.995	5.155
"154"	14	1364	"C57BL/6J(Pasteur)"	"C57BL/6J"	"C57BL/6J"	1	153350	10	24.3	1.07	7.62	5.88	"L"	15	20150918	6.995	5.155
"155"	NA	NA	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	124399	10	23.9	0.5	5.27	3.04	"L"	15	20150417	6.995	5.155
"156"	NA	NA	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	124400	10	23.9	0.65	5.03	3.53	"L"	15	20150417	6.995	5.155
"157"	NA	NA	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	124401	9	25	0.66	5.37	3.92	"L"	15	20150417	6.995	5.155
"158"	NA	NA	"129S2/SvPas"	"129S2/SvPas"	"129S2/SvPas"	1	124402	9	26.3	0.65	4.95	3.4	"L"	15	20150417	6.995	5.155
"159"	20	634	"CC001/Unc(OR13140)"	"CC001"	"OR13140"	1	155584	8	24.3	0.54	4.85	3.63	"M"	16	20151029	6.01333333333333	4.25
"160"	21	634	"CC001/Unc(OR13140)"	"CC001"	"OR13140"	1	155585	8	22.5	0.52	5.17	3.64	"M"	16	20151029	6.01333333333333	4.25
"161"	22	634	"CC001/Unc(OR13140)"	"CC001"	"OR13140"	0	155595	8	20.6	0.58	5.16	3.79	"M"	16	20151029	6.01333333333333	4.25
"162"	23	634	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	163114	9	25.7	0.65	3.92	3.52	"M"	16	20151029	6.01333333333333	4.25
"163"	24	634	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	163115	9	27.3	0.61	3.64	3.36	"M"	16	20151029	6.01333333333333	4.25
"164"	25	634	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	163116	9	27.1	0.51	5.19	3.58	"M"	16	20151029	6.01333333333333	4.25
"165"	26	634	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	1	93029	11	22.3	0.9	6.27	4.27	"M"	16	20151029	6.01333333333333	4.25
"166"	27	634	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	1	93030	11	24.4	0.88	6.19	4.11	"M"	16	20151029	6.01333333333333	4.25
"167"	28	634	"C57BL/6J"	"C57BL/6J"	"C57BL/6J"	1	93031	11	21.6	0.83	5.58	3.72	"M"	16	20151029	6.01333333333333	4.25
"168"	11	997	"CC003/Unc"	"CC003"	"OR13067"	1	159905	9	32	0.61	5.73	3.84	"N"	17	20151113	6.86	5.34666666666667
"169"	12	997	"CC070/TauUnc"	"CC070"	"IL-16034"	1	152235	11	23.9	0.77	5.07	3.61	"N"	17	20151113	6.86	5.34666666666667
"170"	13	997	"CC071"	"CC071"	"IL-16785"	1	155544	10	21.3	0.72	5.06	3.64	"N"	17	20151113	6.86	5.34666666666667
"171"	14	997	"CC072/TauUnc"	"CC072"	"IL-16521"	1	152267	11	25.6	0.86	5.38	3.93	"N"	17	20151113	6.86	5.34666666666667
"172"	15	997	"CC072/TauUnc"	"CC072"	"IL-16521"	1	155551	9	22.6	0.79	5.59	4.19	"N"	17	20151113	6.86	5.34666666666667
"173"	16	997	"129S2/SvPas(CR)"	"129S2/SvPas"	"129S2/SvPas"	1	165889	8	24.4	0.61	5.44	3.74	"N"	17	20151113	6.86	5.34666666666667
